emoji,name,group,subgroup,literal,clarity,keep
👨🏼‍💻,man technologist: medium-light skin tone,People & Body,person-role,technologist,,
👨🏽‍💻,man technologist: medium skin tone,People & Body,person-role,technologist,,
👨🏾‍💻,man technologist: medium-dark skin tone,People & Body,person-role,technologist,,
👨🏿‍💻,man technologist: dark skin tone,People & Body,person-role,technologist,,
👩‍💻,woman technologist,People & Body,person-role,technologist,,
👩🏻‍💻,woman technologist: light skin tone,People & Body,person-role,technologist,,
👩🏼‍💻,woman technologist: medium-light skin tone,People & Body,person-role,technologist,,
👩🏽‍💻,woman technologist: medium skin tone,People & Body,person-role,technologist,,
👩🏾‍💻,woman technologist: medium-dark skin tone,People & Body,person-role,technologist,,
👩🏿‍💻,woman technologist: dark skin tone,People & Body,person-role,technologist,,
🧑‍🎤,singer,People & Body,person-role,singer,,
🧑🏻‍🎤,singer: light skin tone,People & Body,person-role,singer,,
🧑🏼‍🎤,singer: medium-light skin tone,People & Body,person-role,singer,,
🧑🏽‍🎤,singer: medium skin tone,People & Body,person-role,singer,,
🧑🏾‍🎤,singer: medium-dark skin tone,People & Body,person-role,singer,,
🧑🏿‍🎤,singer: dark skin tone,People & Body,person-role,singer,,
👨‍🎤,man singer,People & Body,person-role,singer,,
👨🏻‍🎤,man singer: light skin tone,People & Body,person-role,singer,,
👨🏼‍🎤,man singer: medium-light skin tone,People & Body,person-role,singer,,
👨🏽‍🎤,man singer: medium skin tone,People & Body,person-role,singer,,
👨🏾‍🎤,man singer: medium-dark skin tone,People & Body,person-role,singer,,
👨🏿‍🎤,man singer: dark skin tone,People & Body,person-role,singer,,
👩‍🎤,woman singer,People & Body,person-role,singer,,
👩🏻‍🎤,woman singer: light skin tone,People & Body,person-role,singer,,
👩🏼‍🎤,woman singer: medium-light skin tone,People & Body,person-role,singer,,
👩🏽‍🎤,woman singer: medium skin tone,People & Body,person-role,singer,,
👩🏾‍🎤,woman singer: medium-dark skin tone,People & Body,person-role,singer,,
👩🏿‍🎤,woman singer: dark skin tone,People & Body,person-role,singer,,
🧑‍🎨,artist,People & Body,person-role,artist,,
🧑🏻‍🎨,artist: light skin tone,People & Body,person-role,artist,,
🧑🏼‍🎨,artist: medium-light skin tone,People & Body,person-role,artist,,
🧑🏽‍🎨,artist: medium skin tone,People & Body,person-role,artist,,
🧑🏾‍🎨,artist: medium-dark skin tone,People & Body,person-role,artist,,
🧑🏿‍🎨,artist: dark skin tone,People & Body,person-role,artist,,
👨‍🎨,man artist,People & Body,person-role,artist,,
👨🏻‍🎨,man artist: light skin tone,People & Body,person-role,artist,,
👨🏼‍🎨,man artist: medium-light skin tone,People & Body,person-role,artist,,
👨🏽‍🎨,man artist: medium skin tone,People & Body,person-role,artist,,
👨🏾‍🎨,man artist: medium-dark skin tone,People & Body,person-role,artist,,
👨🏿‍🎨,man artist: dark skin tone,People & Body,person-role,artist,,
👩‍🎨,woman artist,People & Body,person-role,artist,,
👩🏻‍🎨,woman artist: light skin tone,People & Body,person-role,artist,,
👩🏼‍🎨,woman artist: medium-light skin tone,People & Body,person-role,artist,,
👩🏽‍🎨,woman artist: medium skin tone,People & Body,person-role,artist,,
👩🏾‍🎨,woman artist: medium-dark skin tone,People & Body,person-role,artist,,
👩🏿‍🎨,woman artist: dark skin tone,People & Body,person-role,artist,,
🧑‍✈️,pilot,People & Body,person-role,pilot,,
🧑🏻‍✈️,pilot: light skin tone,People & Body,person-role,pilot,,
🧑🏼‍✈️,pilot: medium-light skin tone,People & Body,person-role,pilot,,
🧑🏽‍✈️,pilot: medium skin tone,People & Body,person-role,pilot,,
🧑🏾‍✈️,pilot: medium-dark skin tone,People & Body,person-role,pilot,,
🧑🏿‍✈️,pilot: dark skin tone,People & Body,person-role,pilot,,
👨‍✈️,man pilot,People & Body,person-role,pilot,,
👨🏻‍✈️,man pilot: light skin tone,People & Body,person-role,pilot,,
👨🏼‍✈️,man pilot: medium-light skin tone,People & Body,person-role,pilot,,
👨🏽‍✈️,man pilot: medium skin tone,People & Body,person-role,pilot,,
👨🏾‍✈️,man pilot: medium-dark skin tone,People & Body,person-role,pilot,,
👨🏿‍✈️,man pilot: dark skin tone,People & Body,person-role,pilot,,
👩‍✈️,woman pilot,People & Body,person-role,pilot,,
👩🏻‍✈️,woman pilot: light skin tone,People & Body,person-role,pilot,,
👩🏼‍✈️,woman pilot: medium-light skin tone,People & Body,person-role,pilot,,
👩🏽‍✈️,woman pilot: medium skin tone,People & Body,person-role,pilot,,
👩🏾‍✈️,woman pilot: medium-dark skin tone,People & Body,person-role,pilot,,
👩🏿‍✈️,woman pilot: dark skin tone,People & Body,person-role,pilot,,
🧑‍🚀,astronaut,People & Body,person-role,astronaut,,
🧑🏻‍🚀,astronaut: light skin tone,People & Body,person-role,astronaut,,
🧑🏼‍🚀,astronaut: medium-light skin tone,People & Body,person-role,astronaut,,
🧑🏽‍🚀,astronaut: medium skin tone,People & Body,person-role,astronaut,,
🧑🏾‍🚀,astronaut: medium-dark skin tone,People & Body,person-role,astronaut,,
🧑🏿‍🚀,astronaut: dark skin tone,People & Body,person-role,astronaut,,
👨‍🚀,man astronaut,People & Body,person-role,astronaut,,
👨🏻‍🚀,man astronaut: light skin tone,People & Body,person-role,astronaut,,
👨🏼‍🚀,man astronaut: medium-light skin tone,People & Body,person-role,astronaut,,
👨🏽‍🚀,man astronaut: medium skin tone,People & Body,person-role,astronaut,,
👨🏾‍🚀,man astronaut: medium-dark skin tone,People & Body,person-role,astronaut,,
👨🏿‍🚀,man astronaut: dark skin tone,People & Body,person-role,astronaut,,
👩‍🚀,woman astronaut,People & Body,person-role,astronaut,,
👩🏻‍🚀,woman astronaut: light skin tone,People & Body,person-role,astronaut,,
👩🏼‍🚀,woman astronaut: medium-light skin tone,People & Body,person-role,astronaut,,
👩🏽‍🚀,woman astronaut: medium skin tone,People & Body,person-role,astronaut,,
👩🏾‍🚀,woman astronaut: medium-dark skin tone,People & Body,person-role,astronaut,,
👩🏿‍🚀,woman astronaut: dark skin tone,People & Body,person-role,astronaut,,
🧑‍🚒,firefighter,People & Body,person-role,firefighter,,
🧑🏻‍🚒,firefighter: light skin tone,People & Body,person-role,firefighter,,
🧑🏼‍🚒,firefighter: medium-light skin tone,People & Body,person-role,firefighter,,
🧑🏽‍🚒,firefighter: medium skin tone,People & Body,person-role,firefighter,,
🧑🏾‍🚒,firefighter: medium-dark skin tone,People & Body,person-role,firefighter,,
🧑🏿‍🚒,firefighter: dark skin tone,People & Body,person-role,firefighter,,
👨‍🚒,man firefighter,People & Body,person-role,firefighter,,
👨🏻‍🚒,man firefighter: light skin tone,People & Body,person-role,firefighter,,
👨🏼‍🚒,man firefighter: medium-light skin tone,People & Body,person-role,firefighter,,
👨🏽‍🚒,man firefighter: medium skin tone,People & Body,person-role,firefighter,,
👨🏾‍🚒,man firefighter: medium-dark skin tone,People & Body,person-role,firefighter,,
👨🏿‍🚒,man firefighter: dark skin tone,People & Body,person-role,firefighter,,
👩‍🚒,woman firefighter,People & Body,person-role,firefighter,,
👩🏻‍🚒,woman firefighter: light skin tone,People & Body,person-role,firefighter,,
👩🏼‍🚒,woman firefighter: medium-light skin tone,People & Body,person-role,firefighter,,
👩🏽‍🚒,woman firefighter: medium skin tone,People & Body,person-role,firefighter,,
👩🏾‍🚒,woman firefighter: medium-dark skin tone,People & Body,person-role,firefighter,,
👩🏿‍🚒,woman firefighter: dark skin tone,People & Body,person-role,firefighter,,
👮,police officer,People & Body,person-role,police,,
👮🏻,police officer: light skin tone,People & Body,person-role,police,,
👮🏼,police officer: medium-light skin tone,People & Body,person-role,police,,
👮🏽,police officer: medium skin tone,People & Body,person-role,police,,
👮🏾,police officer: medium-dark skin tone,People & Body,person-role,police,,
👮🏿,police officer: dark skin tone,People & Body,person-role,police,,
👮‍♂️,man police officer,People & Body,person-role,police,,
👮🏻‍♂️,man police officer: light skin tone,People & Body,person-role,police,,
👮🏼‍♂️,man police officer: medium-light skin tone,People & Body,person-role,police,,
👮🏽‍♂️,man police officer: medium skin tone,People & Body,person-role,police,,
👮🏾‍♂️,man police officer: medium-dark skin tone,People & Body,person-role,police,,
👮🏿‍♂️,man police officer: dark skin tone,People & Body,person-role,police,,
👮‍♀️,woman police officer,People & Body,person-role,police,,
👮🏻‍♀️,woman police officer: light skin tone,People & Body,person-role,police,,
👮🏼‍♀️,woman police officer: medium-light skin tone,People & Body,person-role,police,,
👮🏽‍♀️,woman police officer: medium skin tone,People & Body,person-role,police,,
👮🏾‍♀️,woman police officer: medium-dark skin tone,People & Body,person-role,police,,
👮🏿‍♀️,woman police officer: dark skin tone,People & Body,person-role,police,,
🕵️,detective,People & Body,person-role,detective,,
🕵🏻,detective: light skin tone,People & Body,person-role,detective,,
🕵🏼,detective: medium-light skin tone,People & Body,person-role,detective,,
🕵🏽,detective: medium skin tone,People & Body,person-role,detective,,
🕵🏾,detective: medium-dark skin tone,People & Body,person-role,detective,,
🕵🏿,detective: dark skin tone,People & Body,person-role,detective,,
🕵️‍♂️,man detective,People & Body,person-role,detective,,
🕵🏻‍♂️,man detective: light skin tone,People & Body,person-role,detective,,
🕵🏼‍♂️,man detective: medium-light skin tone,People & Body,person-role,detective,,
🕵🏽‍♂️,man detective: medium skin tone,People & Body,person-role,detective,,
🕵🏾‍♂️,man detective: medium-dark skin tone,People & Body,person-role,detective,,
🕵🏿‍♂️,man detective: dark skin tone,People & Body,person-role,detective,,
🕵️‍♀️,woman detective,People & Body,person-role,detective,,
🕵🏻‍♀️,woman detective: light skin tone,People & Body,person-role,detective,,
🕵🏼‍♀️,woman detective: medium-light skin tone,People & Body,person-role,detective,,
🕵🏽‍♀️,woman detective: medium skin tone,People & Body,person-role,detective,,
🕵🏾‍♀️,woman detective: medium-dark skin tone,People & Body,person-role,detective,,
🕵🏿‍♀️,woman detective: dark skin tone,People & Body,person-role,detective,,
💂,guard,People & Body,person-role,guard,,
💂🏻,guard: light skin tone,People & Body,person-role,guard,,
💂🏼,guard: medium-light skin tone,People & Body,person-role,guard,,
💂🏽,guard: medium skin tone,People & Body,person-role,guard,,
💂🏾,guard: medium-dark skin tone,People & Body,person-role,guard,,
💂🏿,guard: dark skin tone,People & Body,person-role,guard,,
💂‍♂️,man guard,People & Body,person-role,guard,,
💂🏻‍♂️,man guard: light skin tone,People & Body,person-role,guard,,
💂🏼‍♂️,man guard: medium-light skin tone,People & Body,person-role,guard,,
💂🏽‍♂️,man guard: medium skin tone,People & Body,person-role,guard,,
💂🏾‍♂️,man guard: medium-dark skin tone,People & Body,person-role,guard,,
💂🏿‍♂️,man guard: dark skin tone,People & Body,person-role,guard,,
💂‍♀️,woman guard,People & Body,person-role,guard,,
💂🏻‍♀️,woman guard: light skin tone,People & Body,person-role,guard,,
💂🏼‍♀️,woman guard: medium-light skin tone,People & Body,person-role,guard,,
💂🏽‍♀️,woman guard: medium skin tone,People & Body,person-role,guard,,
💂🏾‍♀️,woman guard: medium-dark skin tone,People & Body,person-role,guard,,
💂🏿‍♀️,woman guard: dark skin tone,People & Body,person-role,guard,,
🥷,ninja,People & Body,person-role,ninja,,
🥷🏻,ninja: light skin tone,People & Body,person-role,ninja,,
🥷🏼,ninja: medium-light skin tone,People & Body,person-role,ninja,,
🥷🏽,ninja: medium skin tone,People & Body,person-role,ninja,,
🥷🏾,ninja: medium-dark skin tone,People & Body,person-role,ninja,,
🥷🏿,ninja: dark skin tone,People & Body,person-role,ninja,,
👷,construction worker,People & Body,person-role,construction-worker,,
👷🏻,construction worker: light skin tone,People & Body,person-role,construction-worker,,
👷🏼,construction worker: medium-light skin tone,People & Body,person-role,construction-worker,,
👷🏽,construction worker: medium skin tone,People & Body,person-role,construction-worker,,
👷🏾,construction worker: medium-dark skin tone,People & Body,person-role,construction-worker,,
👷🏿,construction worker: dark skin tone,People & Body,person-role,construction-worker,,
👷‍♂️,man construction worker,People & Body,person-role,construction-worker,,
👷🏻‍♂️,man construction worker: light skin tone,People & Body,person-role,construction-worker,,
👷🏼‍♂️,man construction worker: medium-light skin tone,People & Body,person-role,construction-worker,,
👷🏽‍♂️,man construction worker: medium skin tone,People & Body,person-role,construction-worker,,
👷🏾‍♂️,man construction worker: medium-dark skin tone,People & Body,person-role,construction-worker,,
👷🏿‍♂️,man construction worker: dark skin tone,People & Body,person-role,construction-worker,,
👷‍♀️,woman construction worker,People & Body,person-role,construction-worker,,
👷🏻‍♀️,woman construction worker: light skin tone,People & Body,person-role,construction-worker,,
👷🏼‍♀️,woman construction worker: medium-light skin tone,People & Body,person-role,construction-worker,,
👷🏽‍♀️,woman construction worker: medium skin tone,People & Body,person-role,construction-worker,,
👷🏾‍♀️,woman construction worker: medium-dark skin tone,People & Body,person-role,construction-worker,,
👷🏿‍♀️,woman construction worker: dark skin tone,People & Body,person-role,construction-worker,,
🫅,person with crown,People & Body,person-role,crown,,
🫅🏻,person with crown: light skin tone,People & Body,person-role,crown,,
🫅🏼,person with crown: medium-light skin tone,People & Body,person-role,crown,,
🫅🏽,person with crown: medium skin tone,People & Body,person-role,crown,,
🫅🏾,person with crown: medium-dark skin tone,People & Body,person-role,crown,,
🫅🏿,person with crown: dark skin tone,People & Body,person-role,crown,,
🤴,prince,People & Body,person-role,prince,,
🤴🏻,prince: light skin tone,People & Body,person-role,prince,,
🤴🏼,prince: medium-light skin tone,People & Body,person-role,prince,,
🤴🏽,prince: medium skin tone,People & Body,person-role,prince,,
🤴🏾,prince: medium-dark skin tone,People & Body,person-role,prince,,
🤴🏿,prince: dark skin tone,People & Body,person-role,prince,,
👸,princess,People & Body,person-role,princess,,
👸🏻,princess: light skin tone,People & Body,person-role,princess,,
👸🏼,princess: medium-light skin tone,People & Body,person-role,princess,,
👸🏽,princess: medium skin tone,People & Body,person-role,princess,,
👸🏾,princess: medium-dark skin tone,People & Body,person-role,princess,,
👸🏿,princess: dark skin tone,People & Body,person-role,princess,,
👳,person wearing turban,People & Body,person-role,turban,,
👳🏻,person wearing turban: light skin tone,People & Body,person-role,turban,,
👳🏼,person wearing turban: medium-light skin tone,People & Body,person-role,turban,,
👳🏽,person wearing turban: medium skin tone,People & Body,person-role,turban,,
👳🏾,person wearing turban: medium-dark skin tone,People & Body,person-role,turban,,
👳🏿,person wearing turban: dark skin tone,People & Body,person-role,turban,,
👳‍♂️,man wearing turban,People & Body,person-role,turban,,
👳🏻‍♂️,man wearing turban: light skin tone,People & Body,person-role,turban,,
👳🏼‍♂️,man wearing turban: medium-light skin tone,People & Body,person-role,turban,,
👳🏽‍♂️,man wearing turban: medium skin tone,People & Body,person-role,turban,,
👳🏾‍♂️,man wearing turban: medium-dark skin tone,People & Body,person-role,turban,,
👳🏿‍♂️,man wearing turban: dark skin tone,People & Body,person-role,turban,,
👳‍♀️,woman wearing turban,People & Body,person-role,turban,,
👳🏻‍♀️,woman wearing turban: light skin tone,People & Body,person-role,turban,,
👳🏼‍♀️,woman wearing turban: medium-light skin tone,People & Body,person-role,turban,,
👳🏽‍♀️,woman wearing turban: medium skin tone,People & Body,person-role,turban,,
👳🏾‍♀️,woman wearing turban: medium-dark skin tone,People & Body,person-role,turban,,
👳🏿‍♀️,woman wearing turban: dark skin tone,People & Body,person-role,turban,,
👲,person with skullcap,People & Body,person-role,skullcap,,
👲🏻,person with skullcap: light skin tone,People & Body,person-role,skullcap,,
👲🏼,person with skullcap: medium-light skin tone,People & Body,person-role,skullcap,,
👲🏽,person with skullcap: medium skin tone,People & Body,person-role,skullcap,,
👲🏾,person with skullcap: medium-dark skin tone,People & Body,person-role,skullcap,,
👲🏿,person with skullcap: dark skin tone,People & Body,person-role,skullcap,,
🧕,woman with headscarf,People & Body,person-role,headscarf,,
🧕🏻,woman with headscarf: light skin tone,People & Body,person-role,headscarf,,
🧕🏼,woman with headscarf: medium-light skin tone,People & Body,person-role,headscarf,,
🧕🏽,woman with headscarf: medium skin tone,People & Body,person-role,headscarf,,
🧕🏾,woman with headscarf: medium-dark skin tone,People & Body,person-role,headscarf,,
🧕🏿,woman with headscarf: dark skin tone,People & Body,person-role,headscarf,,
🤵,person in tuxedo,People & Body,person-role,tuxedo,,
🤵🏻,person in tuxedo: light skin tone,People & Body,person-role,tuxedo,,
🤵🏼,person in tuxedo: medium-light skin tone,People & Body,person-role,tuxedo,,
🤵🏽,person in tuxedo: medium skin tone,People & Body,person-role,tuxedo,,
🤵🏾,person in tuxedo: medium-dark skin tone,People & Body,person-role,tuxedo,,
🤵🏿,person in tuxedo: dark skin tone,People & Body,person-role,tuxedo,,
🤵‍♂️,man in tuxedo,People & Body,person-role,tuxedo,,
🤵🏻‍♂️,man in tuxedo: light skin tone,People & Body,person-role,tuxedo,,
🤵🏼‍♂️,man in tuxedo: medium-light skin tone,People & Body,person-role,tuxedo,,
🤵🏽‍♂️,man in tuxedo: medium skin tone,People & Body,person-role,tuxedo,,
🤵🏾‍♂️,man in tuxedo: medium-dark skin tone,People & Body,person-role,tuxedo,,
🤵🏿‍♂️,man in tuxedo: dark skin tone,People & Body,person-role,tuxedo,,
🤵‍♀️,woman in tuxedo,People & Body,person-role,tuxedo,,
🤵🏻‍♀️,woman in tuxedo: light skin tone,People & Body,person-role,tuxedo,,
🤵🏼‍♀️,woman in tuxedo: medium-light skin tone,People & Body,person-role,tuxedo,,
🤵🏽‍♀️,woman in tuxedo: medium skin tone,People & Body,person-role,tuxedo,,
🤵🏾‍♀️,woman in tuxedo: medium-dark skin tone,People & Body,person-role,tuxedo,,
🤵🏿‍♀️,woman in tuxedo: dark skin tone,People & Body,person-role,tuxedo,,
👰,person with veil,People & Body,person-role,veil,,
👰🏻,person with veil: light skin tone,People & Body,person-role,veil,,
👰🏼,person with veil: medium-light skin tone,People & Body,person-role,veil,,
👰🏽,person with veil: medium skin tone,People & Body,person-role,veil,,
👰🏾,person with veil: medium-dark skin tone,People & Body,person-role,veil,,
👰🏿,person with veil: dark skin tone,People & Body,person-role,veil,,
👰‍♂️,man with veil,People & Body,person-role,veil,,
👰🏻‍♂️,man with veil: light skin tone,People & Body,person-role,veil,,
👰🏼‍♂️,man with veil: medium-light skin tone,People & Body,person-role,veil,,
👰🏽‍♂️,man with veil: medium skin tone,People & Body,person-role,veil,,
👰🏾‍♂️,man with veil: medium-dark skin tone,People & Body,person-role,veil,,
👰🏿‍♂️,man with veil: dark skin tone,People & Body,person-role,veil,,
👰‍♀️,woman with veil,People & Body,person-role,veil,,
👰🏻‍♀️,woman with veil: light skin tone,People & Body,person-role,veil,,
👰🏼‍♀️,woman with veil: medium-light skin tone,People & Body,person-role,veil,,
👰🏽‍♀️,woman with veil: medium skin tone,People & Body,person-role,veil,,
👰🏾‍♀️,woman with veil: medium-dark skin tone,People & Body,person-role,veil,,
👰🏿‍♀️,woman with veil: dark skin tone,People & Body,person-role,veil,,
🤰,pregnant woman,People & Body,person-role,pregnant,,
🤰🏻,pregnant woman: light skin tone,People & Body,person-role,pregnant,,
🤰🏼,pregnant woman: medium-light skin tone,People & Body,person-role,pregnant,,
🤰🏽,pregnant woman: medium skin tone,People & Body,person-role,pregnant,,
🤰🏾,pregnant woman: medium-dark skin tone,People & Body,person-role,pregnant,,
🤰🏿,pregnant woman: dark skin tone,People & Body,person-role,pregnant,,
🫃,pregnant man,People & Body,person-role,pregnant,,
🫃🏻,pregnant man: light skin tone,People & Body,person-role,pregnant,,
🫃🏼,pregnant man: medium-light skin tone,People & Body,person-role,pregnant,,
🫃🏽,pregnant man: medium skin tone,People & Body,person-role,pregnant,,
🫃🏾,pregnant man: medium-dark skin tone,People & Body,person-role,pregnant,,
🫃🏿,pregnant man: dark skin tone,People & Body,person-role,pregnant,,
🫄,pregnant person,People & Body,person-role,pregnant,,
🫄🏻,pregnant person: light skin tone,People & Body,person-role,pregnant,,
🫄🏼,pregnant person: medium-light skin tone,People & Body,person-role,pregnant,,
🫄🏽,pregnant person: medium skin tone,People & Body,person-role,pregnant,,
🫄🏾,pregnant person: medium-dark skin tone,People & Body,person-role,pregnant,,
🫄🏿,pregnant person: dark skin tone,People & Body,person-role,pregnant,,
🤱,breast-feeding,People & Body,person-role,breastfeeding,,
🤱🏻,breast-feeding: light skin tone,People & Body,person-role,breastfeeding,,
🤱🏼,breast-feeding: medium-light skin tone,People & Body,person-role,breastfeeding,,
🤱🏽,breast-feeding: medium skin tone,People & Body,person-role,breastfeeding,,
🤱🏾,breast-feeding: medium-dark skin tone,People & Body,person-role,breastfeeding,,
🤱🏿,breast-feeding: dark skin tone,People & Body,person-role,breastfeeding,,
👩‍🍼,woman feeding baby,People & Body,person-role,feeding-baby,,
👩🏻‍🍼,woman feeding baby: light skin tone,People & Body,person-role,feeding-baby,,
👩🏼‍🍼,woman feeding baby: medium-light skin tone,People & Body,person-role,feeding-baby,,
👩🏽‍🍼,woman feeding baby: medium skin tone,People & Body,person-role,feeding-baby,,
👩🏾‍🍼,woman feeding baby: medium-dark skin tone,People & Body,person-role,feeding-baby,,
👩🏿‍🍼,woman feeding baby: dark skin tone,People & Body,person-role,feeding-baby,,
👨‍🍼,man feeding baby,People & Body,person-role,feeding-baby,,
👨🏻‍🍼,man feeding baby: light skin tone,People & Body,person-role,feeding-baby,,
👨🏼‍🍼,man feeding baby: medium-light skin tone,People & Body,person-role,feeding-baby,,
👨🏽‍🍼,man feeding baby: medium skin tone,People & Body,person-role,feeding-baby,,
👨🏾‍🍼,man feeding baby: medium-dark skin tone,People & Body,person-role,feeding-baby,,
👨🏿‍🍼,man feeding baby: dark skin tone,People & Body,person-role,feeding-baby,,
🧑‍🍼,person feeding baby,People & Body,person-role,feeding-baby,,
🧑🏻‍🍼,person feeding baby: light skin tone,People & Body,person-role,feeding-baby,,
🧑🏼‍🍼,person feeding baby: medium-light skin tone,People & Body,person-role,feeding-baby,,
🧑🏽‍🍼,person feeding baby: medium skin tone,People & Body,person-role,feeding-baby,,
🧑🏾‍🍼,person feeding baby: medium-dark skin tone,People & Body,person-role,feeding-baby,,
🧑🏿‍🍼,person feeding baby: dark skin tone,People & Body,person-role,feeding-baby,,
👼,baby angel,People & Body,person-fantasy,angel,,
👼🏻,baby angel: light skin tone,People & Body,person-fantasy,angel,,
👼🏼,baby angel: medium-light skin tone,People & Body,person-fantasy,angel,,
👼🏽,baby angel: medium skin tone,People & Body,person-fantasy,angel,,
👼🏾,baby angel: medium-dark skin tone,People & Body,person-fantasy,angel,,
👼🏿,baby angel: dark skin tone,People & Body,person-fantasy,angel,,
🎅,Santa Claus,People & Body,person-fantasy,santa-claus,,
🎅🏻,Santa Claus: light skin tone,People & Body,person-fantasy,santa-claus,,
🎅🏼,Santa Claus: medium-light skin tone,People & Body,person-fantasy,santa-claus,,
🎅🏽,Santa Claus: medium skin tone,People & Body,person-fantasy,santa-claus,,
🎅🏾,Santa Claus: medium-dark skin tone,People & Body,person-fantasy,santa-claus,,
🎅🏿,Santa Claus: dark skin tone,People & Body,person-fantasy,santa-claus,,
🤶,Mrs. Claus,People & Body,person-fantasy,mrs-claus,,
🤶🏻,Mrs. Claus: light skin tone,People & Body,person-fantasy,mrs-claus,,
🤶🏼,Mrs. Claus: medium-light skin tone,People & Body,person-fantasy,mrs-claus,,
🤶🏽,Mrs. Claus: medium skin tone,People & Body,person-fantasy,mrs-claus,,
🤶🏾,Mrs. Claus: medium-dark skin tone,People & Body,person-fantasy,mrs-claus,,
🤶🏿,Mrs. Claus: dark skin tone,People & Body,person-fantasy,mrs-claus,,
🧑‍🎄,Mx Claus,People & Body,person-fantasy,mx-claus,,
🧑🏻‍🎄,Mx Claus: light skin tone,People & Body,person-fantasy,mx-claus,,
🧑🏼‍🎄,Mx Claus: medium-light skin tone,People & Body,person-fantasy,mx-claus,,
🧑🏽‍🎄,Mx Claus: medium skin tone,People & Body,person-fantasy,mx-claus,,
🧑🏾‍🎄,Mx Claus: medium-dark skin tone,People & Body,person-fantasy,mx-claus,,
🧑🏿‍🎄,Mx Claus: dark skin tone,People & Body,person-fantasy,mx-claus,,
🦸,superhero,People & Body,person-fantasy,superhero,,
🦸🏻,superhero: light skin tone,People & Body,person-fantasy,superhero,,
🦸🏼,superhero: medium-light skin tone,People & Body,person-fantasy,superhero,,
🦸🏽,superhero: medium skin tone,People & Body,person-fantasy,superhero,,
🦸🏾,superhero: medium-dark skin tone,People & Body,person-fantasy,superhero,,
🦸🏿,superhero: dark skin tone,People & Body,person-fantasy,superhero,,
🦸‍♂️,man superhero,People & Body,person-fantasy,superhero,,
🦸🏻‍♂️,man superhero: light skin tone,People & Body,person-fantasy,superhero,,
🦸🏼‍♂️,man superhero: medium-light skin tone,People & Body,person-fantasy,superhero,,
🦸🏽‍♂️,man superhero: medium skin tone,People & Body,person-fantasy,superhero,,
🦸🏾‍♂️,man superhero: medium-dark skin tone,People & Body,person-fantasy,superhero,,
🦸🏿‍♂️,man superhero: dark skin tone,People & Body,person-fantasy,superhero,,
🦸‍♀️,woman superhero,People & Body,person-fantasy,superhero,,
🦸🏻‍♀️,woman superhero: light skin tone,People & Body,person-fantasy,superhero,,
🦸🏼‍♀️,woman superhero: medium-light skin tone,People & Body,person-fantasy,superhero,,
🦸🏽‍♀️,woman superhero: medium skin tone,People & Body,person-fantasy,superhero,,
🦸🏾‍♀️,woman superhero: medium-dark skin tone,People & Body,person-fantasy,superhero,,
🦸🏿‍♀️,woman superhero: dark skin tone,People & Body,person-fantasy,superhero,,
🦹,supervillain,People & Body,person-fantasy,supervillain,,
🦹🏻,supervillain: light skin tone,People & Body,person-fantasy,supervillain,,
🦹🏼,supervillain: medium-light skin tone,People & Body,person-fantasy,supervillain,,
🦹🏽,supervillain: medium skin tone,People & Body,person-fantasy,supervillain,,
🦹🏾,supervillain: medium-dark skin tone,People & Body,person-fantasy,supervillain,,
🦹🏿,supervillain: dark skin tone,People & Body,person-fantasy,supervillain,,
🦹‍♂️,man supervillain,People & Body,person-fantasy,supervillain,,
🦹🏻‍♂️,man supervillain: light skin tone,People & Body,person-fantasy,supervillain,,
🦹🏼‍♂️,man supervillain: medium-light skin tone,People & Body,person-fantasy,supervillain,,
🦹🏽‍♂️,man supervillain: medium skin tone,People & Body,person-fantasy,supervillain,,
🦹🏾‍♂️,man supervillain: medium-dark skin tone,People & Body,person-fantasy,supervillain,,
🦹🏿‍♂️,man supervillain: dark skin tone,People & Body,person-fantasy,supervillain,,
🦹‍♀️,woman supervillain,People & Body,person-fantasy,supervillain,,
🦹🏻‍♀️,woman supervillain: light skin tone,People & Body,person-fantasy,supervillain,,
🦹🏼‍♀️,woman supervillain: medium-light skin tone,People & Body,person-fantasy,supervillain,,
🦹🏽‍♀️,woman supervillain: medium skin tone,People & Body,person-fantasy,supervillain,,
🦹🏾‍♀️,woman supervillain: medium-dark skin tone,People & Body,person-fantasy,supervillain,,
🦹🏿‍♀️,woman supervillain: dark skin tone,People & Body,person-fantasy,supervillain,,
🧙,mage,People & Body,person-fantasy,mage,,
🧙🏻,mage: light skin tone,People & Body,person-fantasy,mage,,
🧙🏼,mage: medium-light skin tone,People & Body,person-fantasy,mage,,
🧙🏽,mage: medium skin tone,People & Body,person-fantasy,mage,,
🧙🏾,mage: medium-dark skin tone,People & Body,person-fantasy,mage,,
🧙🏿,mage: dark skin tone,People & Body,person-fantasy,mage,,
🧙‍♂️,man mage,People & Body,person-fantasy,mage,,
🧙🏻‍♂️,man mage: light skin tone,People & Body,person-fantasy,mage,,
🧙🏼‍♂️,man mage: medium-light skin tone,People & Body,person-fantasy,mage,,
🧙🏽‍♂️,man mage: medium skin tone,People & Body,person-fantasy,mage,,
🧙🏾‍♂️,man mage: medium-dark skin tone,People & Body,person-fantasy,mage,,
🧙🏿‍♂️,man mage: dark skin tone,People & Body,person-fantasy,mage,,
🧙‍♀️,woman mage,People & Body,person-fantasy,mage,,
